application_id,cluster_id,start_time,end_time,app_number
application_1440487435730_0039,1440487435730,2015-09-01 18:14:40,2015-09-01 18:19:50,0001
application_1448006111297_0137,1448006111297,2016-04-07 10:45:21,2016-04-07 11:28:11,0001
application_1448006111297_0138,1448006111297,2016-04-07 11:39:58,2016-04-07 12:22:08,0002
application_1460011102909_0176,1460011102909,2016-07-26 11:54:20,2016-07-26 12:19:25,0001
application_1472621869829_0081,1472621869829,2016-09-09 07:43:47,2016-09-09 07:44:12,0001
application_1472621869829_0082,1472621869829,2016-09-09 07:45:49,2016-09-09 07:45:59,0002
application_1472621869829_0083,1472621869829,2016-09-09 07:46:50,2016-09-09 07:47:09,0003
application_1472621869829_0084,1472621869829,2016-09-09 07:48:25,2016-09-09 07:48:49,0004
application_1472621869829_0085,1472621869829,2016-09-09 07:51:18,2016-09-09 07:51:44,0005
application_1472621869829_0086,1472621869829,2016-09-09 07:52:43,2016-09-09 07:53:05,0006
application_1472621869829_0087,1472621869829,2016-09-09 08:04:46,2016-09-09 08:05:19,0007
application_1472621869829_0088,1472621869829,2016-09-09 10:06:51,2016-09-09 10:07:06,0008
application_1474351042505_2578,1474351042505,2016-11-18 22:30:06,2016-11-19 00:59:04,0001
application_1485248649253_0001,1485248649253,2017-01-24 17:00:28,2017-01-24 17:13:19,0001
application_1485248649253_0002,1485248649253,2017-02-01 11:58:08,2017-02-02 03:30:45,0002
application_1485248649253_0003,1485248649253,2017-02-09 19:44:21,2017-02-09 19:56:53,0003
application_1485248649253_0004,1485248649253,2017-02-09 19:56:35,2017-02-09 20:03:43,0004
application_1485248649253_0005,1485248649253,2017-02-09 20:17:48,2017-02-09 20:25:41,0005
application_1485248649253_0006,1485248649253,2017-02-09 20:36:11,2017-02-09 20:44:05,0006
application_1485248649253_0007,1485248649253,2017-03-14 20:56:31,2017-03-14 21:11:24,0007
application_1485248649253_0008,1485248649253,2017-03-14 20:59:51,2017-03-14 21:13:59,0008
application_1485248649253_0009,1485248649253,2017-03-14 21:02:26,2017-03-14 21:14:41,0009
application_1485248649253_0010,1485248649253,2017-03-14 21:11:12,2017-03-14 21:21:44,0010
application_1485248649253_0011,1485248649253,2017-03-14 21:13:08,2017-03-14 21:22:44,0011
application_1485248649253_0012,1485248649253,2017-03-14 21:21:44,2017-03-14 21:31:20,0012
application_1485248649253_0017,1485248649253,2017-03-14 21:22:44,2017-03-14 21:38:38,0013
application_1485248649253_0014,1485248649253,2017-03-14 21:23:57,2017-03-14 21:31:23,0014
application_1485248649253_0015,1485248649253,2017-03-14 21:24:02,2017-03-14 21:33:36,0015
application_1485248649253_0018,1485248649253,2017-03-14 21:26:32,2017-03-14 21:40:13,0016
application_1485248649253_0016,1485248649253,2017-03-14 21:26:48,2017-03-14 21:32:46,0017
application_1485248649253_0019,1485248649253,2017-03-14 21:30:49,2017-03-14 21:46:41,0018
application_1485248649253_0020,1485248649253,2017-03-14 21:39:57,2017-03-14 21:46:10,0019
application_1485248649253_0022,1485248649253,2017-03-14 21:52:53,2017-03-14 22:08:33,0020
application_1485248649253_0021,1485248649253,2017-03-14 21:58:34,2017-03-14 21:58:45,0021
application_1485248649253_0023,1485248649253,2017-03-14 22:03:09,2017-03-14 22:36:35,0022
application_1485248649253_0024,1485248649253,2017-03-14 22:16:41,2017-03-14 22:51:06,0023
application_1485248649253_0026,1485248649253,2017-03-16 16:38:25,2017-03-16 16:57:20,0024
application_1485248649253_0027,1485248649253,2017-03-16 17:04:51,2017-03-16 17:26:44,0025
application_1485248649253_0029,1485248649253,2017-03-16 17:11:13,2017-03-16 17:40:38,0026
application_1485248649253_0030,1485248649253,2017-03-16 17:46:33,2017-03-16 20:33:32,0027
application_1485248649253_0031,1485248649253,2017-03-21 00:17:49,2017-03-21 00:23:21,0028
application_1485248649253_0033,1485248649253,2017-03-21 00:18:39,2017-03-21 00:36:52,0029
application_1485248649253_0032,1485248649253,2017-03-21 00:18:54,2017-03-21 00:35:42,0030
application_1485248649253_0034,1485248649253,2017-03-21 09:28:15,2017-03-21 09:48:24,0031
application_1485248649253_0035,1485248649253,2017-03-21 09:41:22,2017-03-21 10:30:24,0032
application_1485248649253_0036,1485248649253,2017-03-21 11:34:08,2017-03-21 12:22:14,0033
application_1485248649253_0037,1485248649253,2017-03-23 13:59:32,2017-03-23 14:36:47,0034
application_1485248649253_0038,1485248649253,2017-03-23 14:31:22,2017-03-23 15:14:46,0035
application_1485248649253_0039,1485248649253,2017-03-23 14:35:13,2017-03-23 15:23:34,0036
application_1485248649253_0040,1485248649253,2017-03-23 15:49:27,2017-03-23 15:51:18,0037
application_1485248649253_0041,1485248649253,2017-03-23 15:52:19,2017-03-23 16:27:15,0038
application_1485248649253_0042,1485248649253,2017-03-27 14:28:01,2017-03-27 15:18:26,0039
application_1485248649253_0043,1485248649253,2017-03-27 19:34:24,2017-03-27 20:08:45,0040
application_1485248649253_0044,1485248649253,2017-03-28 11:11:56,2017-03-28 11:39:47,0041
application_1485248649253_0045,1485248649253,2017-03-28 11:30:59,2017-03-28 11:47:43,0042
application_1485248649253_0046,1485248649253,2017-03-28 11:43:31,2017-03-28 11:59:11,0043
application_1485248649253_0047,1485248649253,2017-03-28 15:07:59,2017-03-28 15:43:55,0044
application_1485248649253_0048,1485248649253,2017-03-28 15:38:31,2017-03-28 16:08:38,0045
application_1485248649253_0049,1485248649253,2017-03-28 17:01:07,2017-03-28 17:40:20,0046
application_1485248649253_0050,1485248649253,2017-03-28 18:00:09,2017-03-28 18:43:08,0047
application_1485248649253_0052,1485248649253,2017-03-29 09:55:33,2017-03-29 10:11:36,0048
application_1485248649253_0051,1485248649253,2017-03-29 10:08:37,2017-03-29 10:10:19,0049
application_1485248649253_0053,1485248649253,2017-03-29 17:07:34,2017-03-29 17:45:50,0050
application_1485248649253_0054,1485248649253,2017-03-29 17:12:57,2017-03-29 17:29:51,0051
application_1485248649253_0055,1485248649253,2017-03-29 17:28:03,2017-03-29 18:05:33,0052
application_1485248649253_0056,1485248649253,2017-03-29 19:21:17,2017-03-29 20:02:22,0053
application_1485248649253_0057,1485248649253,2017-03-29 21:11:38,2017-03-29 21:49:45,0054
application_1485248649253_0058,1485248649253,2017-03-29 21:42:30,2017-03-29 23:17:39,0055
application_1485248649253_0059,1485248649253,2017-03-29 22:59:28,2017-03-30 00:32:02,0056
application_1485248649253_0061,1485248649253,2017-03-29 23:04:42,2017-03-30 00:03:07,0057
application_1485248649253_0060,1485248649253,2017-03-29 23:10:07,2017-03-30 00:44:07,0058
application_1485248649253_0062,1485248649253,2017-04-11 19:12:00,2017-04-11 23:12:31,0059
application_1485248649253_0063,1485248649253,2017-04-13 18:45:36,2017-04-14 01:23:39,0060
application_1485248649253_0064,1485248649253,2017-04-13 19:41:24,2017-04-13 20:49:17,0061
application_1485248649253_0066,1485248649253,2017-04-13 20:40:33,2017-04-13 21:13:42,0062
application_1485248649253_0067,1485248649253,2017-04-13 20:45:08,2017-04-13 22:07:06,0063
application_1485248649253_0068,1485248649253,2017-04-13 21:26:01,2017-04-13 23:59:39,0064
application_1485248649253_0070,1485248649253,2017-04-13 21:55:47,2017-04-13 23:25:42,0065
application_1485248649253_0071,1485248649253,2017-04-13 22:50:46,2017-04-14 00:33:51,0066
application_1485248649253_0072,1485248649253,2017-04-20 13:43:42,2017-04-20 16:25:57,0067
application_1485248649253_0073,1485248649253,2017-04-25 18:11:33,2017-04-25 21:54:35,0068
application_1485248649253_0074,1485248649253,2017-05-02 12:38:46,2017-05-02 15:17:30,0069
application_1485248649253_0075,1485248649253,2017-05-08 08:36:49,2017-05-08 10:25:51,0070
application_1485248649253_0076,1485248649253,2017-05-08 09:49:41,2017-05-08 13:05:34,0071
application_1485248649253_0077,1485248649253,2017-06-06 20:54:23,2017-06-06 21:12:14,0072
application_1485248649253_0080,1485248649253,2017-06-06 21:01:03,2017-06-06 21:18:53,0073
application_1485248649253_0082,1485248649253,2017-06-06 21:01:43,2017-06-06 21:17:30,0074
application_1485248649253_0083,1485248649253,2017-06-06 21:02:04,2017-06-06 21:17:51,0075
application_1485248649253_0084,1485248649253,2017-06-06 21:02:26,2017-06-06 21:20:15,0076
application_1485248649253_0078,1485248649253,2017-06-06 21:07:25,2017-06-06 21:18:25,0077
application_1485248649253_0081,1485248649253,2017-06-06 21:08:12,2017-06-06 21:17:33,0078
application_1485248649253_0085,1485248649253,2017-06-06 21:09:35,2017-06-06 21:18:32,0079
application_1485248649253_0086,1485248649253,2017-06-06 21:09:52,2017-06-06 21:18:55,0080
application_1485248649253_0087,1485248649253,2017-06-06 21:10:14,2017-06-06 21:19:40,0081
application_1485248649253_0088,1485248649253,2017-06-06 21:10:37,2017-06-06 21:21:37,0082
application_1485248649253_0089,1485248649253,2017-06-06 21:27:33,2017-06-06 21:42:09,0083
application_1485248649253_0090,1485248649253,2017-06-06 21:29:49,2017-06-06 21:48:49,0084
application_1485248649253_0091,1485248649253,2017-06-06 21:38:58,2017-06-06 21:58:01,0085
application_1485248649253_0092,1485248649253,2017-06-06 21:45:56,2017-06-06 22:05:06,0086
application_1485248649253_0093,1485248649253,2017-06-06 21:51:49,2017-06-06 22:11:00,0087
application_1485248649253_0094,1485248649253,2017-06-06 21:57:06,2017-06-06 22:16:21,0088
application_1485248649253_0095,1485248649253,2017-06-06 22:03:14,2017-06-06 22:22:40,0089
application_1485248649253_0096,1485248649253,2017-06-06 22:15:13,2017-06-06 22:34:30,0090
application_1485248649253_0097,1485248649253,2017-06-07 15:03:51,2017-06-07 15:23:51,0091
application_1485248649253_0098,1485248649253,2017-06-07 15:11:08,2017-06-07 15:30:38,0092
application_1485248649253_0099,1485248649253,2017-06-07 15:29:35,2017-06-07 15:50:16,0093
application_1485248649253_0100,1485248649253,2017-06-07 15:40:55,2017-06-07 16:01:59,0094
application_1485248649253_0101,1485248649253,2017-06-07 16:08:52,2017-06-07 16:27:22,0095
application_1485248649253_0102,1485248649253,2017-06-07 16:11:47,2017-06-07 16:30:30,0096
application_1485248649253_0103,1485248649253,2017-06-07 16:21:21,2017-06-07 16:38:28,0097
application_1485248649253_0104,1485248649253,2017-06-07 16:37:02,2017-06-07 16:54:11,0098
application_1485248649253_0105,1485248649253,2017-06-07 16:41:45,2017-06-07 17:01:01,0099
application_1485248649253_0106,1485248649253,2017-06-07 16:51:10,2017-06-07 17:09:24,0100
application_1485248649253_0107,1485248649253,2017-06-07 17:00:58,2017-06-07 17:20:52,0101
application_1485248649253_0108,1485248649253,2017-06-08 09:42:42,2017-06-08 10:04:46,0102
application_1485248649253_0109,1485248649253,2017-06-08 09:59:00,2017-06-08 10:12:44,0103
application_1485248649253_0110,1485248649253,2017-06-08 10:03:53,2017-06-08 10:29:24,0104
application_1485248649253_0111,1485248649253,2017-06-08 10:26:16,2017-06-08 10:53:05,0105
application_1485248649253_0112,1485248649253,2017-06-08 10:49:47,2017-06-08 11:05:56,0106
application_1485248649253_0113,1485248649253,2017-06-08 10:51:50,2017-06-08 11:07:59,0107
application_1485248649253_0114,1485248649253,2017-06-08 10:52:33,2017-06-08 11:08:42,0108
application_1485248649253_0115,1485248649253,2017-06-08 10:55:30,2017-06-08 11:13:43,0109
application_1485248649253_0116,1485248649253,2017-06-08 11:00:28,2017-06-08 11:18:42,0110
application_1485248649253_0117,1485248649253,2017-06-08 11:25:56,2017-06-08 11:47:47,0111
application_1485248649253_0118,1485248649253,2017-06-08 11:44:19,2017-06-08 12:04:13,0112
application_1485248649253_0119,1485248649253,2017-06-08 11:54:33,2017-06-08 12:07:56,0113
application_1485248649253_0120,1485248649253,2017-06-08 12:06:47,2017-06-08 12:29:43,0114
application_1485248649253_0121,1485248649253,2017-06-08 13:19:49,2017-06-08 14:23:34,0115
application_1485248649253_0122,1485248649253,2017-06-08 14:15:25,2017-06-08 14:24:40,0116
application_1485248649253_0123,1485248649253,2017-06-08 14:21:33,2017-06-08 14:40:35,0117
application_1485248649253_0124,1485248649253,2017-06-08 14:38:50,2017-06-08 15:09:51,0118
application_1485248649253_0125,1485248649253,2017-06-08 15:08:48,2017-06-08 15:25:53,0119
application_1485248649253_0126,1485248649253,2017-06-08 15:24:33,2017-06-08 15:47:00,0120
application_1485248649253_0127,1485248649253,2017-06-08 15:40:53,2017-06-08 15:56:29,0121
application_1485248649253_0128,1485248649253,2017-06-08 15:43:03,2017-06-08 16:04:40,0122
application_1485248649253_0129,1485248649253,2017-06-08 16:07:04,2017-06-08 17:00:50,0123
application_1485248649253_0130,1485248649253,2017-06-08 16:55:15,2017-06-08 17:21:58,0124
application_1485248649253_0131,1485248649253,2017-06-08 17:14:12,2017-06-08 18:02:49,0125
application_1485248649253_0132,1485248649253,2017-06-08 18:53:13,2017-06-08 22:49:01,0126
application_1485248649253_0133,1485248649253,2017-06-09 09:12:49,2017-06-09 09:28:15,0127
application_1485248649253_0134,1485248649253,2017-06-09 09:38:32,2017-06-09 10:20:09,0128
application_1485248649253_0135,1485248649253,2017-06-09 10:20:18,2017-06-09 10:41:03,0129
application_1485248649253_0136,1485248649253,2017-06-09 10:30:01,2017-06-09 11:20:50,0130
application_1485248649253_0137,1485248649253,2017-06-09 11:08:20,2017-06-09 14:05:01,0131
application_1485248649253_0138,1485248649253,2017-06-09 15:02:32,2017-06-09 15:26:59,0132
application_1485248649253_0139,1485248649253,2017-06-09 15:30:53,2017-06-09 16:09:08,0133
application_1485248649253_0140,1485248649253,2017-06-09 16:15:44,2017-06-09 16:35:11,0134
application_1485248649253_0141,1485248649253,2017-06-09 16:36:24,2017-06-09 17:07:24,0135
application_1485248649253_0142,1485248649253,2017-06-09 16:56:04,2017-06-09 17:46:29,0136
application_1485248649253_0143,1485248649253,2017-06-09 17:24:53,2017-06-09 17:41:25,0137
application_1485248649253_0144,1485248649253,2017-06-09 17:31:13,2017-06-09 19:08:29,0138
application_1485248649253_0145,1485248649253,2017-06-09 18:57:18,2017-06-09 19:19:05,0139
application_1485248649253_0146,1485248649253,2017-06-09 19:17:08,2017-06-09 20:01:54,0140
application_1485248649253_0147,1485248649253,2017-06-09 20:10:40,2017-06-09 20:39:06,0141
application_1485248649253_0148,1485248649253,2017-06-09 20:24:06,2017-06-09 21:05:46,0142
application_1485248649253_0149,1485248649253,2017-06-09 20:59:43,2017-06-09 22:28:08,0143
application_1485248649253_0153,1485248649253,2017-06-10 14:56:51,2017-06-10 15:13:49,0144
application_1485248649253_0155,1485248649253,2017-06-10 14:59:38,2017-06-10 15:17:13,0145
application_1485248649253_0150,1485248649253,2017-06-10 14:59:40,2017-06-10 15:09:47,0146
